Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,Institutional sector,Edition,Category,TIME_PERIOD,OBS_VALUE,Observation status
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2009,21.072,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,23.625,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,28.414,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,32.744,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,34.077,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,38.218,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,40.001,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,43.183,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,43.157,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,46.806,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,62.376,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,59.264,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2022,53.119,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2023,54.575,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2024,55.758,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2007,12.793,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2008,15.519,Normal value
Annual,AUS,Australia,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2016,41.581,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2010,92.261,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2011,93.257,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2012,100.813,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2013,98.05,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2014,105.613,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2015,103.842,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2017,97.494,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2018,92.153,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2019,90.442,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2020,107.945,Normal value
Annual,AUT,Austria,GGD,Government gross debt,PT_B1GQ,Percentage of GDP,General government,Yearly updates,Public finance,2021,101.631,Normal value
